adresse
"25.0  RUE LOUVRE, Paris 1.0"
"1.0  RUE PIERRE LESCOT, Paris 1.0"
"196.0  RUE SAINT HONORE, Paris 1.0"
"7.0  RUE ARGENTEUIL, Paris 1.0"
"20.0  RUE PYRAMIDES, Paris 1.0"
"22.0  AV OPERA, Paris 1.0"
"15.0  RUE MOLIERE, Paris 1.0"
"51.0  RUE PETITS CHAMPS, Paris 1.0"
"16.0  RUE SAINT ROCH, Paris 1.0"
"14.0  RUE MARCHE SAINT HONORE, Paris 1.0"
"12.0  RUE GOMBOUST, Paris 1.0"
"350.0  RUE SAINT HONORE, Paris 1.0"
"362.0  RUE SAINT HONORE, Paris 1.0"
"17.0  RUE PAIX, Paris 2.0"
"20.0  RUE PAIX, Paris 2.0"
"30.0  RUE DANIELLE CASANOVA, Paris 2.0"
"29.0  RUE QUATRE SEPTEMBRE, Paris 2.0"
"19.0  RUE ANTIN, Paris 2.0"
"14.0  RUE GAILLON, Paris 2.0"
"38.0  RUE PETITS CHAMPS, Paris 2.0"
"9.0  RUE SAINT AUGUSTIN, Paris 2.0"
"77.0  RUE RICHELIEU, Paris 2.0"
"19.0  RUE SAINT MARC, Paris 2.0"
"60.0  RUE RICHELIEU, Paris 2.0"
"6.0 B RUE PETITS PERES, Paris 2.0"
"135.0  RUE MONTMARTRE, Paris 2.0"
"64.0  RUE MONTMARTRE, Paris 2.0"
"32.0  RUE ABOUKIR, Paris 2.0"
"21.0  BD BONNE NOUVELLE, Paris 2.0"
"12.0  RUE POISSONNIERE, Paris 2.0"
"66.0  RUE CLERY, Paris 2.0"
"7.0  RUE SAINTE FOY, Paris 2.0"
"120.0  RUE SAINT DENIS, Paris 2.0"
"359.0  RUE SAINT MARTIN, Paris 3.0"
"6.0  RUE BLONDEL, Paris 3.0"
"5.0  RUE SAINTE APOLLINE, Paris 3.0"
"65.0  RUE NOTRE DAME DE NAZARETH, Paris 3.0"
"318.0  RUE SAINT MARTIN, Paris 3.0"
"13.0  BD SAINT MARTIN, Paris 3.0"
"203.0  RUE TEMPLE, Paris 3.0"
"60.0  RUE TURBIGO, Paris 3.0"
"55.0  RUE MAIRE, Paris 3.0"
"21.0  RUE MAIRE, Paris 3.0"
"129.0  RUE VIEILLE DU TEMPLE, Paris 3.0"
"62.0  RUE CHARLOT, Paris 3.0"
"10.0  RUE NORMANDIE, Paris 3.0"
"38.0  RUE BRETAGNE, Paris 3.0"
"3.0  RUE PAUL DUBOIS, Paris 3.0"
